Tenure in Months,Offer,Monthly Charge,Total Charges,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Contract,Paperless Billing,Customer Status,Churn Category
31,Offer B,73.9,2217.15,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Attitude
16,Offer B,19.35,275.9,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
65,Offer B,25.75,1654.75,No,No,No,No,No,Two Year,No,Stayed,Competitor
5,Offer B,67.95,350.3,Yes,No,No,Yes,Yes,Month-to-Month,No,Churned,Price
55,Offer B,73.1,4144.9,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
1,Offer B,50.75,50.75,Yes,No,No,No,No,Month-to-Month,No,Joined,Competitor
33,Offer B,95.0,3008.15,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Stayed,Competitor
30,Offer B,104.1,3121.1,Yes,No,Yes,Yes,No,Two Year,Yes,Stayed,Competitor
25,Offer C,55.55,1405.3,Yes,No,No,Yes,No,Month-to-Month,No,Stayed,Competitor
3,Offer B,35.45,106.85,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Churned,Other
4,Offer B,50.7,151.3,Yes,No,Yes,No,No,Month-to-Month,No,Churned,Other
1,Offer B,21.1,21.1,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
14,Offer D,89.8,1129.1,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Attitude
25,Offer B,70.95,1767.35,Yes,No,No,No,No,Month-to-Month,No,Churned,Dissatisfaction
25,Offer C,20.15,536.35,No,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
72,Offer B,115.55,8312.4,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
44,Offer B,19.5,835.5,No,No,No,No,No,One Year,No,Stayed,Competitor
18,Offer D,75.4,1380.4,Yes,Yes,No,No,No,Month-to-Month,Yes,Stayed,Competitor
7,Offer E,84.35,609.65,Yes,No,No,Yes,No,One Year,Yes,Stayed,Competitor
59,Offer B,72.1,4194.85,Yes,No,No,Yes,Yes,Two Year,Yes,Stayed,Competitor
70,Offer B,84.8,5917.55,Yes,No,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
40,Offer B,26.2,1077.5,No,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
34,Offer B,105.35,3688.6,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Stayed,Competitor
5,Offer E,85.3,420.45,Yes,No,Yes,No,No,Month-to-Month,Yes,Stayed,Competitor
1,Offer E,45.65,45.65,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
68,Offer A,44.8,2983.65,Yes,Yes,Yes,No,No,One Year,No,Stayed,Competitor
14,Offer D,19.7,263.65,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
19,Offer D,89.95,1682.4,Yes,No,No,Yes,Yes,Month-to-Month,No,Stayed,Competitor
4,Offer E,68.65,261.25,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Dissatisfaction
67,Offer B,25.25,1733.15,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
50,Offer B,108.75,5431.9,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Stayed,Competitor
43,Offer B,35.2,1463.7,Yes,Yes,No,Yes,No,One Year,Yes,Stayed,Competitor
59,Offer B,19.3,1192.7,No,No,No,No,No,Two Year,No,Stayed,Competitor
27,Offer B,20.1,562.6,No,No,No,No,No,One Year,No,Stayed,Competitor
22,Offer D,61.15,1422.05,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Churned,Dissatisfaction
40,Offer B,63.9,2635.0,Yes,No,Yes,No,No,One Year,No,Stayed,Competitor
37,Offer B,99.2,3754.6,Yes,Yes,No,Yes,Yes,One Year,Yes,Churned,Attitude
15,Offer D,79.75,1111.85,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Dissatisfaction
28,Offer B,54.9,1505.15,Yes,No,No,No,Yes,Month-to-Month,Yes,Stayed,Competitor
13,Offer D,75.3,989.45,Yes,No,No,Yes,No,One Year,Yes,Churned,Dissatisfaction
5,Offer B,20.05,95.55,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
54,Offer B,65.65,3566.7,Yes,Yes,Yes,No,Yes,Two Year,Yes,Stayed,Competitor
63,Offer B,39.35,2395.05,Yes,No,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
20,Offer B,20.05,406.05,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
46,Offer B,105.2,4822.85,Yes,Yes,Yes,No,Yes,One Year,Yes,Churned,Other
72,Offer B,92.4,6786.1,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
71,Offer B,25.6,1888.25,No,No,No,No,No,Two Year,No,Stayed,Competitor
32,Offer C,19.45,674.55,No,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
71,Offer B,105.9,7521.95,Yes,No,Yes,Yes,No,One Year,Yes,Stayed,Competitor
71,Offer A,89.85,6293.45,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
71,Offer A,65.15,4681.75,Yes,Yes,Yes,No,Yes,Two Year,No,Stayed,Competitor
22,Offer D,69.7,1490.4,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
12,Offer B,96.0,1062.1,Yes,No,No,Yes,No,Month-to-Month,Yes,Churned,Dissatisfaction
68,Offer A,19.95,1303.25,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
2,Offer B,53.45,119.5,Yes,Yes,No,Yes,No,Month-to-Month,No,Joined,Competitor
29,Offer C,58.55,1718.95,Yes,Yes,Yes,No,No,Two Year,Yes,Stayed,Competitor
7,Offer B,40.1,293.3,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Attitude
12,Offer B,79.95,1043.4,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
34,Offer C,55.0,1885.15,Yes,Yes,Yes,No,No,One Year,No,Stayed,Competitor
22,Offer B,79.2,1742.75,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Churned,Dissatisfaction
15,Offer B,85.9,1269.55,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Other
40,Offer B,78.85,3126.85,Yes,No,No,No,Yes,Month-to-Month,Yes,Stayed,Competitor
72,Offer A,94.45,6921.7,Yes,Yes,Yes,No,No,Two Year,Yes,Stayed,Competitor
72,Offer A,49.2,3580.95,Yes,Yes,Yes,Yes,No,Two Year,Yes,Stayed,Competitor
45,Offer B,73.55,3349.1,Yes,Yes,No,No,Yes,Two Year,No,Stayed,Competitor
72,Offer B,111.95,8033.1,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
71,Offer A,89.3,6388.65,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
18,Offer B,59.1,1011.05,Yes,Yes,No,No,No,Two Year,Yes,Stayed,Competitor
47,Offer B,85.3,4045.65,Yes,No,No,Yes,No,Month-to-Month,Yes,Churned,Other
68,Offer B,53.0,3656.25,Yes,No,Yes,Yes,No,Two Year,Yes,Stayed,Competitor
68,Offer B,80.65,5330.2,Yes,No,Yes,Yes,No,Two Year,Yes,Stayed,Competitor
1,Offer B,84.85,84.85,Yes,No,No,Yes,No,Month-to-Month,Yes,Churned,Competitor
34,Offer B,60.85,2003.6,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Stayed,Competitor
24,Offer B,79.65,1928.7,Yes,No,No,Yes,No,Month-to-Month,Yes,Stayed,Competitor
58,Offer B,89.85,5125.75,Yes,Yes,Yes,No,Yes,One Year,Yes,Stayed,Competitor
7,Offer B,84.8,546.95,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
1,Offer E,50.8,50.8,Yes,No,Yes,No,No,Month-to-Month,No,Churned,Competitor
7,Offer B,51.0,354.05,Yes,Yes,No,No,No,Month-to-Month,Yes,Churned,Attitude
37,Offer B,90.0,3371.75,Yes,No,No,Yes,Yes,Two Year,No,Stayed,Competitor
52,Offer B,24.55,1331.05,No,No,No,No,No,Two Year,No,Stayed,Competitor
45,Offer B,20.0,886.4,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
43,Offer B,24.25,1077.95,No,No,No,No,No,Two Year,No,Stayed,Competitor
26,Offer B,81.95,2070.05,Yes,Yes,Yes,No,No,Month-to-Month,No,Stayed,Competitor
56,Offer B,98.6,5581.05,Yes,No,Yes,No,No,Month-to-Month,No,Stayed,Competitor
1,Offer E,25.25,25.25,Yes,No,No,No,No,Month-to-Month,No,Joined,Competitor
68,Offer B,85.3,5560.0,Yes,No,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
27,Offer B,45.85,1246.4,Yes,No,Yes,Yes,No,One Year,Yes,Stayed,Competitor
9,Offer E,85.5,791.7,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
8,Offer B,45.15,438.4,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Other
1,Offer B,19.4,19.4,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
71,Offer A,116.05,8297.5,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
15,Offer D,19.4,289.3,No,No,No,No,No,Month-to-Month,No,Churned,Price
70,Offer A,93.9,6579.05,Yes,Yes,Yes,Yes,Yes,Two Year,No,Churned,Price
72,Offer B,85.9,6110.75,Yes,Yes,No,Yes,Yes,Two Year,Yes,Stayed,Competitor
21,Offer D,99.15,1956.4,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Stayed,Competitor
54,Offer B,20.1,1079.45,No,No,No,No,No,Two Year,No,Stayed,Competitor
8,Offer B,19.5,162.15,No,No,No,No,No,Two Year,No,Stayed,Competitor
24,Offer B,49.3,1233.25,Yes,No,No,Yes,No,Month-to-Month,Yes,Stayed,Competitor
48,Offer B,19.55,883.35,No,No,No,No,No,Two Year,No,Stayed,Competitor
1,Offer B,55.2,55.2,Yes,No,No,No,No,Month-to-Month,No,Churned,Dissatisfaction
5,Offer B,24.3,132.25,No,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
17,Offer B,44.45,792.15,Yes,Yes,No,Yes,No,One Year,No,Stayed,Competitor
72,Offer B,79.35,5753.25,Yes,Yes,Yes,No,Yes,Two Year,Yes,Stayed,Competitor
72,Offer B,103.2,7362.9,Yes,No,Yes,Yes,No,One Year,Yes,Stayed,Competitor
6,Offer B,44.4,263.05,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
72,Offer A,-4.0,5401.9,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
4,Offer B,50.85,239.55,Yes,No,No,No,No,Month-to-Month,No,Churned,Dissatisfaction
62,Offer B,20.65,1218.45,No,No,No,No,No,Two Year,No,Stayed,Competitor
39,Offer C,95.55,3692.85,Yes,Yes,No,Yes,Yes,One Year,Yes,Churned,Attitude
1,Offer B,20.4,20.4,No,No,No,No,No,One Year,No,Joined,Competitor
51,Offer B,60.5,3145.15,Yes,Yes,Yes,No,Yes,One Year,Yes,Stayed,Competitor
58,Offer B,103.25,6017.65,Yes,No,Yes,Yes,No,One Year,Yes,Churned,Competitor
38,Offer B,81.85,3141.7,Yes,No,Yes,No,No,Month-to-Month,Yes,Stayed,Competitor
33,Offer B,80.1,2603.3,Yes,Yes,No,No,No,One Year,No,Stayed,Competitor
20,Offer D,19.4,415.4,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
31,Offer C,80.55,2471.6,Yes,No,Yes,No,Yes,Two Year,No,Stayed,Competitor
20,Offer B,105.85,2239.65,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Churned,Dissatisfaction
64,Offer B,81.05,5135.35,Yes,Yes,Yes,No,No,Month-to-Month,No,Stayed,Competitor
72,Offer A,79.55,5810.9,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
9,Offer E,-10.0,767.9,Yes,No,No,Yes,No,One Year,Yes,Stayed,Competitor
61,Offer B,104.0,6363.45,Yes,Yes,No,Yes,No,One Year,No,Stayed,Competitor
52,Offer B,85.15,4461.85,Yes,Yes,Yes,No,Yes,Two Year,Yes,Stayed,Competitor
69,Offer B,46.25,3121.4,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
1,Offer E,79.15,79.15,Yes,No,Yes,No,No,Month-to-Month,Yes,Joined,Competitor
68,Offer B,72.95,4953.25,Yes,No,No,Yes,Yes,Two Year,Yes,Stayed,Competitor
14,Offer B,66.6,979.5,Yes,No,No,No,Yes,Month-to-Month,Yes,Stayed,Competitor
7,Offer E,35.5,249.55,Yes,No,No,Yes,Yes,One Year,Yes,Stayed,Competitor
2,Offer B,70.2,115.95,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
1,Offer B,70.1,70.1,Yes,No,No,No,No,Month-to-Month,No,Joined,Competitor
51,Offer B,24.95,1222.25,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
4,Offer B,99.6,347.65,Yes,Yes,No,No,No,Month-to-Month,Yes,Churned,Dissatisfaction
15,Offer B,19.35,278.85,No,No,No,No,No,Two Year,No,Stayed,Competitor
72,Offer A,109.15,7789.6,Yes,No,Yes,Yes,Yes,One Year,No,Stayed,Competitor
50,Offer B,94.4,4914.9,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Stayed,Competitor
57,Offer B,94.0,5438.95,Yes,No,Yes,Yes,No,Month-to-Month,No,Stayed,Competitor
44,Offer B,95.1,4060.55,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Stayed,Competitor
62,Offer B,110.8,6840.95,Yes,No,Yes,Yes,Yes,One Year,Yes,Stayed,Competitor
14,Offer B,74.3,1096.25,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Dissatisfaction
7,Offer E,78.5,571.05,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Stayed,Competitor
72,Offer B,110.75,7751.7,Yes,Yes,Yes,Yes,No,Two Year,Yes,Stayed,Competitor
1,Offer B,49.05,49.05,Yes,No,No,No,Yes,Month-to-Month,No,Joined,Competitor
72,Offer A,63.1,4685.55,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
1,Offer E,45.4,45.4,Yes,No,No,No,No,Month-to-Month,Yes,Joined,Competitor
3,Offer E,75.1,270.7,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
32,Offer B,19.75,624.15,No,No,No,No,No,One Year,No,Stayed,Competitor
71,Offer B,99.2,7213.75,Yes,No,Yes,Yes,No,Two Year,Yes,Stayed,Competitor
60,Offer B,99.0,6017.9,Yes,No,No,No,Yes,Two Year,Yes,Stayed,Competitor
4,Offer B,48.75,179.85,Yes,No,No,No,No,Two Year,No,Stayed,Competitor
52,Offer B,95.65,5088.4,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Stayed,Competitor
29,Offer B,58.0,1734.5,Yes,Yes,No,Yes,Yes,One Year,No,Stayed,Competitor
49,Offer B,99.25,4920.8,Yes,No,No,Yes,Yes,One Year,Yes,Stayed,Competitor
40,Offer B,60.3,2448.5,Yes,No,Yes,Yes,Yes,One Year,No,Stayed,Competitor
57,Offer B,100.75,5985.0,Yes,No,No,Yes,No,One Year,Yes,Stayed,Competitor
62,Offer B,70.45,4300.45,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
23,Offer D,86.8,1940.8,Yes,No,Yes,Yes,Yes,One Year,No,Stayed,Competitor
65,Offer B,71.0,4386.2,Yes,Yes,Yes,Yes,No,Two Year,No,Stayed,Competitor
38,Offer C,20.05,741.5,No,No,No,No,No,Two Year,No,Stayed,Competitor
48,Offer B,117.45,5438.9,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Churned,Competitor
72,Offer A,82.15,5784.3,Yes,No,Yes,Yes,No,Two Year,No,Stayed,Competitor
2,Offer E,19.85,52.0,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
28,Offer B,76.55,2065.4,Yes,No,No,No,Yes,Month-to-Month,No,Stayed,Competitor
65,Offer B,109.05,7108.2,Yes,Yes,No,Yes,Yes,Two Year,Yes,Stayed,Competitor
2,Offer B,19.4,61.05,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
10,Offer B,33.9,298.45,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Attitude
16,Offer B,89.45,1430.25,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Churned,Attitude
72,Offer A,55.65,3880.05,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
12,Offer B,33.15,444.75,Yes,Yes,No,No,Yes,One Year,No,Stayed,Competitor
1,Offer B,19.9,19.9,No,No,No,No,No,Month-to-Month,Yes,Churned,Attitude
26,Offer B,44.45,1183.8,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Stayed,Competitor
20,Offer B,19.5,403.15,No,No,No,No,No,One Year,No,Stayed,Competitor
7,Offer B,19.3,144.95,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
38,Offer C,80.3,3058.65,Yes,Yes,Yes,No,Yes,One Year,No,Churned,Other
23,Offer D,90.0,2024.1,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Stayed,Competitor
67,Offer B,111.05,7321.05,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
48,Offer B,24.55,1203.95,No,No,No,No,No,One Year,No,Stayed,Competitor
64,Offer B,104.4,6692.65,Yes,No,Yes,Yes,No,Two Year,Yes,Stayed,Competitor
3,Offer B,74.55,233.65,Yes,Yes,No,No,No,Month-to-Month,Yes,Joined,Competitor
32,Offer B,104.05,3416.85,Yes,No,Yes,Yes,No,One Year,Yes,Stayed,Competitor
57,Offer B,70.1,3913.3,Yes,Yes,No,No,No,One Year,Yes,Churned,Dissatisfaction
51,Offer B,84.2,4299.75,Yes,No,Yes,No,Yes,One Year,No,Stayed,Competitor
16,Offer D,19.7,342.4,No,No,No,No,No,Month-to-Month,Yes,Churned,Price
48,Offer B,25.05,1171.5,No,No,No,No,No,One Year,No,Stayed,Competitor
18,Offer B,20.05,388.6,No,No,No,No,No,Two Year,No,Stayed,Competitor
23,Offer B,40.1,857.75,Yes,Yes,No,Yes,Yes,Two Year,No,Stayed,Competitor
55,Offer B,50.55,2832.75,Yes,Yes,No,No,No,Month-to-Month,Yes,Stayed,Competitor
2,Offer B,20.3,41.2,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
9,Offer B,94.85,890.6,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Churned,Other
27,Offer C,20.35,531.6,No,No,No,No,No,Two Year,No,Stayed,Competitor
35,Offer B,24.15,812.5,Yes,No,No,No,No,Month-to-Month,No,Stayed,Competitor
58,Offer B,20.5,1191.4,No,No,No,No,No,Two Year,No,Stayed,Competitor
42,Offer B,94.4,4014.6,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Stayed,Competitor
44,Offer B,61.5,2722.2,Yes,Yes,Yes,Yes,No,One Year,Yes,Stayed,Competitor
43,Offer B,75.2,3254.35,Yes,Yes,No,Yes,No,Two Year,No,Stayed,Competitor
7,Offer E,-2.0,134.05,No,No,No,No,No,One Year,No,Stayed,Competitor
28,Offer B,103.3,2890.65,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Churned,Competitor
41,Offer B,94.9,3848.0,Yes,No,No,Yes,No,Month-to-Month,Yes,Stayed,Competitor
24,Offer C,80.25,1861.5,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Competitor
39,Offer B,104.7,4134.85,Yes,Yes,No,Yes,Yes,One Year,Yes,Churned,Competitor
65,Offer B,104.25,6812.95,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Stayed,Competitor
40,Offer B,36.0,1382.9,Yes,No,Yes,No,Yes,One Year,No,Stayed,Competitor
46,Offer B,70.6,3231.05,Yes,Yes,Yes,No,Yes,One Year,No,Stayed,Competitor
36,Offer C,84.75,3050.15,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
62,Offer B,80.4,4981.15,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Stayed,Competitor
30,Offer B,70.4,2044.75,Yes,Yes,Yes,No,Yes,One Year,No,Stayed,Competitor
70,Offer A,113.65,7939.25,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
1,Offer B,19.9,19.9,No,No,No,No,No,Month-to-Month,Yes,Joined,Competitor
5,Offer E,104.1,541.9,Yes,No,Yes,Yes,No,Month-to-Month,No,Churned,Other
24,Offer B,93.0,2248.05,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
11,Offer D,20.25,208.0,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
58,Offer B,99.15,5720.95,Yes,Yes,Yes,No,No,One Year,No,Stayed,Competitor
2,Offer E,44.35,81.25,Yes,No,No,No,No,Month-to-Month,No,Churned,Other
8,Offer E,66.25,546.45,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
35,Offer B,91.0,3180.5,Yes,Yes,No,No,No,Month-to-Month,No,Stayed,Competitor
65,Offer B,104.35,6578.55,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Stayed,Competitor
68,Offer B,85.0,5607.75,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
6,Offer E,84.85,523.5,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Competitor
46,Offer B,94.9,4422.95,Yes,No,Yes,Yes,No,One Year,Yes,Stayed,Competitor
72,Offer B,115.15,8349.7,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
62,Offer B,100.15,6413.65,Yes,No,No,Yes,No,One Year,Yes,Churned,Competitor
38,Offer B,20.2,735.9,No,No,No,No,No,Two Year,No,Stayed,Competitor
1,Offer B,53.5,53.5,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Dissatisfaction
58,Offer B,95.3,5817.7,Yes,No,No,No,Yes,Month-to-Month,Yes,Stayed,Competitor
17,Offer B,20.1,279.5,No,No,No,No,No,One Year,Yes,Stayed,Competitor
72,Offer A,114.85,8317.95,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
50,Offer B,69.65,3442.15,Yes,No,No,Yes,Yes,One Year,Yes,Stayed,Competitor
4,Offer E,49.35,219.65,Yes,Yes,No,No,No,Month-to-Month,No,Churned,Dissatisfaction
3,Offer E,20.0,61.7,No,No,No,No,No,Month-to-Month,Yes,Joined,Competitor
8,Offer B,80.45,583.45,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Other
13,Offer B,70.15,916.75,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Dissatisfaction
55,Offer B,20.5,1177.95,No,No,No,No,No,Two Year,No,Stayed,Competitor
71,Offer B,90.1,6310.9,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
37,Offer B,80.05,3019.1,Yes,No,Yes,Yes,No,One Year,No,Stayed,Competitor
41,Offer B,111.95,4534.9,Yes,No,Yes,Yes,Yes,One Year,Yes,Churned,Other
55,Offer B,85.1,4657.95,Yes,Yes,No,Yes,Yes,Two Year,Yes,Stayed,Competitor
61,Offer B,50.7,3088.75,Yes,Yes,Yes,No,Yes,One Year,Yes,Stayed,Competitor
44,Offer B,-7.0,2924.05,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Stayed,Competitor
59,Offer B,110.15,6448.05,Yes,Yes,Yes,Yes,No,One Year,Yes,Churned,Dissatisfaction
10,Offer D,34.7,329.8,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Other
2,Offer B,20.4,42.9,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
56,Offer B,19.8,1119.9,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
72,Offer A,108.4,7719.5,Yes,No,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
1,Offer B,74.7,74.7,Yes,No,No,No,Yes,One Year,No,Joined,Competitor
44,Offer B,19.35,847.25,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
10,Offer D,19.75,208.25,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
72,Offer A,19.85,1434.1,No,No,No,No,No,Two Year,No,Stayed,Competitor
66,Offer A,54.8,3465.7,Yes,Yes,Yes,No,No,One Year,Yes,Stayed,Competitor
24,Offer B,-1.0,2391.8,Yes,No,No,Yes,No,Month-to-Month,Yes,Churned,Price
18,Offer B,89.6,1633.0,Yes,No,No,Yes,No,One Year,Yes,Stayed,Competitor
22,Offer D,54.45,1127.35,Yes,Yes,No,No,No,Month-to-Month,Yes,Churned,Other
64,Offer B,94.6,5948.7,Yes,Yes,No,Yes,No,Two Year,Yes,Stayed,Competitor
22,Offer B,39.2,849.9,Yes,No,Yes,No,No,Month-to-Month,No,Stayed,Competitor
38,Offer C,102.6,4009.2,Yes,No,Yes,Yes,No,Two Year,Yes,Stayed,Competitor
5,Offer B,20.25,109.8,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
6,Offer B,98.25,560.6,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Attitude
1,Offer E,70.3,70.3,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Other
18,Offer B,56.8,1074.65,Yes,No,Yes,No,No,Month-to-Month,No,Stayed,Competitor
11,Offer D,53.8,651.55,Yes,No,No,Yes,Yes,One Year,No,Stayed,Competitor
67,Offer A,64.55,4250.1,Yes,Yes,Yes,No,Yes,Two Year,Yes,Stayed,Competitor
67,Offer B,101.4,6841.05,Yes,No,No,Yes,No,Two Year,Yes,Stayed,Competitor
72,Offer B,25.7,1937.4,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
47,Offer B,75.45,3545.1,Yes,Yes,No,No,No,Month-to-Month,No,Stayed,Competitor
54,Offer B,72.1,3886.05,Yes,No,Yes,No,Yes,One Year,No,Stayed,Competitor
12,Offer D,98.1,1060.2,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Churned,Dissatisfaction
31,Offer C,84.75,2613.4,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Stayed,Competitor
11,Offer D,64.05,733.95,Yes,Yes,No,Yes,No,Month-to-Month,No,Stayed,Competitor
40,Offer B,55.8,2109.35,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Churned,Attitude
11,Offer B,75.2,775.3,Yes,No,No,No,No,One Year,Yes,Stayed,Competitor
5,Offer B,92.5,452.7,Yes,No,No,Yes,No,Month-to-Month,Yes,Churned,Competitor
1,Offer E,19.75,19.75,No,No,No,No,No,Month-to-Month,Yes,Joined,Competitor
20,Offer B,-4.0,395.6,No,No,No,No,No,One Year,No,Stayed,Competitor
8,Offer E,19.65,169.75,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
1,Offer B,74.3,74.3,Yes,No,No,No,Yes,Month-to-Month,Yes,Joined,Competitor
72,Offer A,111.65,7943.45,Yes,No,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
6,Offer B,91.0,531.0,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Churned,Dissatisfaction
40,Offer B,101.85,4086.3,Yes,Yes,No,No,No,Month-to-Month,No,Churned,Other
23,Offer D,73.65,1642.75,Yes,No,No,No,Yes,Month-to-Month,Yes,Stayed,Competitor
30,Offer C,95.0,2852.4,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Stayed,Competitor
29,Offer B,76.0,2215.25,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
59,Offer B,44.3,2666.75,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
41,Offer B,83.75,3273.55,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Churned,Competitor
58,Offer B,97.8,5458.8,Yes,No,Yes,No,No,One Year,Yes,Stayed,Competitor
1,Offer B,20.65,20.65,No,No,No,No,No,Month-to-Month,Yes,Joined,Competitor
